0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,21
15,3
22,23
22,24
22,26
22,27
22,28
22,30
22,32
30,3
30,5
30,8
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
36,3
44,45
44,46
44,47
44,48
44,50
21,92
44,51
44,52
44,53
44,54
55,57
55,58
55,59
55,61
55,62
55,63
55,64
55,65
65,86
66,67
66,68
66,69
66,70
66,72
66,73
66,74
66,75
76,77
76,78
76,79
76,80
76,81
76,82
76,83
76,84
76,85
76,86
83,7
83,8
83,9
87,88
87,89
87,90
87,91
87,92
87,93
87,94
87,95
87,96
87,97
